code,name
11.02.01.2023,"Qanun No. 36/2006, Perbaikan nama sesuai Validasi Data Nama dan
Kodefikasi Desa tgl 17 Mei 2017 dan Rekomedasi Ditjen Bina Pemdes
No. 146/3672/BPD tgl 21 Juni 2017.
Perbaikan nama desa semula Pulo Ndapdap menjadi Pulo Ndadap,
sesuai:
Qanun No. 36 Tahun 2006; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.02.01.2024,Qanun No. 36/2006
11.02.01.2025,Qanun No. 36/2006
11.02.01.2026,Qanun No. 36/2006
11.02.01.2027,Qanun No. 36/2006
11.02.01.2028,"Qanun No. 36/2006, Perbaikan nama sesuai Surat Pem Aceh No.
146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama Desa/Gampong
di Aceh"
11.02.01.2029,"Qanun No. 36/2006, Perbaikan nama sesuai Surat Pem Aceh No.
146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama Desa/Gampong
di Aceh"
11.02.01.2030,Qanun No. 36/2006
11.02.01.2031,Qanun No. 36/2006
11.02.02,-
11.02.02.2001,Bukit Merdeka
11.02.02.2002,Darul Aman
11.02.02.2003,Lawe Kesumpat
11.02.02.2004,Lawe Tua Gabungan
11.02.02.2005,Lawe Sigala II
11.02.02.2006,Lawe Sigala Timur
11.02.02.2007,Lawe Sigala Barat
11.02.02.2008,Suka Damai
11.02.02.2009,Kute Tengah
11.02.02.2010,Tanah Baru
11.02.02.2011,Kedataran Gabungan
11.02.02.2012,Gabungan Parsaroan
11.02.02.2013,"Lawe Loning
Gabungan"
11.02.02.2014,Lawe Loning Aman
11.02.02.2015,Suka Maju
11.02.02.2016,Lawe Tua Makmur
11.02.02.2017,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.02.2018,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.02.2019,Lawe Rakat
11.02.02.2020,Suka Jaya
11.02.02.2021,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.02.02.2022,Sebungke
11.02.02.2023,Bukit Sepakat
11.02.02.2024,"Lawe Loning
Sepakat"
11.02.02.2025,Lawe Loning I
11.02.02.2026,Gaya Jaya
11.02.02.2027,"Qanun No. 32/2006, Perbaikan nama sesuai Surat Pem Aceh No.
146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama Desa/Gampong
di Aceh"
11.02.02.2028,"Qanun No. 32/2006, Perbaikan nama sesuai Surat Pem Aceh No.
146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama Desa/Gampong
di Aceh"
11.02.02.2029,Qanun No. 32/2006
